競馬場,競走年月日,レース番号,枠番,帽色,馬番,馬名,性,齢,毛色,生年月日,父馬名,母馬名,母父馬名,騎手名,騎手所属,負担重量,騎手成績,調教師,調教師所属,馬主氏名,生産牧場名,馬体重,馬体重増減,全成績,ダート左成績,ダート右成績,当競馬場成績,うち当距離成績,最高タイム,最高タイム良馬場,着順,タイム,着差,上がり3F,人気
盛岡,20260825,8,8,桃,12,サクラトップラン,牝,7,鹿毛,20190331,ホッコータルマエ,シャンパントパーズ,ワイルドラッシュ,高橋悠,岩手,54,3-0-1-11,伊藤忍,岩手,（株）トップフェロウ,千代田牧場,,,5-5-2-39,3-3-0-15,1-2-2-14,3-0-0-10,2-0-0-5,1:25.4,良1:26.8,,,,,1
盛岡,20260825,9,1,白,1,ルージュアストレア,牝,3,鹿毛,20230319,キタサンブラック,プリンセスアスタ,"Canford Cliffs",山本聡,岩手,54,0-0-0-0,栗田徹,JRA,（株）東京ホースレーシング,社台ファーム,,,0-0-1-4,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,2,黒,2,シュートザムーン,牡,3,鹿毛,20230512,サトノジェネシス,ムーンエコロジー,クリーンエコロジー,山本紀,岩手,56,0-0-0-0,菅原学,岩手,浦野和由,日西牧場,,,2-0-0-8,1-0-0-4,1-0-0-1,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,3,赤,3,ラペイエ,セン,3,鹿毛,20230326,バゴ,ティフィン,トワイニング,小林凌,岩手,56,0-0-0-0,永田幸,岩手,木部嚴生,木部ファーム,,,0-2-4-13,0-1-1-2,0-1-3-11,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,4,青,4,タイセイネクサス,セン,3,鹿毛,20230125,キズナ,グレイトペイジ,"Roderic O'Connor",高松亮,岩手,56,0-0-0-0,古賀慎,JRA,田中成奉,タイヘイ牧場,,,0-0-0-2,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,5,黄,5,カクメイショヤ,牝,3,黒鹿毛,20230223,サトノクラウン,ルーモス,ハーツクライ,鈴木祐,岩手,54,0-1-0-13,櫻田康,岩手,山本武司,びらとり牧場,,,0-1-0-15,0-0-0-3,0-0-0-7,0-1-0-5,0-0-0-3,1:48.8,良1:50.0,,,,,1
盛岡,20260825,9,5,黄,6,ファーザーアウェイ,牡,3,鹿毛,20230327,エピファネイア,アフランシール,ハーツクライ,丹内祐,JRA,56,0-0-0-0,尾関知,JRA,（株）ノースヒルズ,株式会社ノースヒルズ,,,0-0-1-5,0-0-0-1,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,6,緑,7,レイナエヴィータ,牝,3,黒鹿毛,20230212,キタサンブラック,サンタエヴィータ,"Smart Strike",高橋悠,岩手,54,0-0-0-0,武藤善,JRA,（株）Ｇ１レーシング,（有）社台コーポレー,,,0-0-0-1,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,6,緑,8,ライトアズフェザー,牝,3,鹿毛,20230206,アルアイン,ベッラヴォルタ,ヴィクトワールピサ,阿部英,岩手,54,0-0-0-2,工藤裕,岩手,川添裕起,チェスナットファーム,,,1-0-2-12,0-0-0-2,1-0-2-5,0-0-0-1,0-0-0-1,1:46.1,良1:46.1,,,,,1
盛岡,20260825,9,7,橙,9,アルカイックスター,牝,3,鹿毛,20230223,ブリックスアンドモルタル,スターオブエマラーティ,"Pride Of Dubai",菅原辰,岩手,54,0-0-0-1,千葉幸,岩手,犬飼優,社台ファーム,,,1-1-0-10,1-1-0-5,0-0-0-2,0-0-0-3,0-0-0-3,1:45.9,良1:45.9,,,,,1
盛岡,20260825,9,7,橙,10,ヘイマー,牡,3,黒鹿毛,20230314,アドマイヤムーン,ヴァレリカ,Dynaformer,村上忍,岩手,56,0-0-0-0,伊藤伸,JRA,田頭勇貴,株式会社那須野,,,0-0-0-13,0-0-0-1,0-0-0-3,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,8,桃,11,ヘヴンリーサイン,牡,3,鹿毛,20230303,エポカドーロ,アグネスエンジェル,ホワイトマズル,山本政,岩手,56,0-0-0-0,深山雅,JRA,岡田牧雄,上村勇人,,,0-0-0-6,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,9,8,桃,12,ジュエルレジーナ,牝,3,青鹿毛,20230427,シルバーステート,ジュエルクイーン,キンシャサノキセキ,坂井瑛,岩手,☆53,0-0-0-3,飯田弘,岩手,橋本政信,明治牧場,,,0-1-0-23,0-0-0-6,0-1-0-11,0-0-0-6,0-0-0-3,1:47.1,良1:47.1,,,,,1
盛岡,20260825,10,1,白,1,ワイドカイゼリン,牝,6,鹿毛,20200403,アメリカンペイトリオット,ワイルドシンガー,ワイルドラッシュ,坂井瑛,岩手,☆53,0-1-0-4,千博次,岩手,谷謙介,槇本牧場,,,3-7-0-35,0-0-0-10,3-7-0-22,0-0-0-6,0-0-0-5,1:38.6,良1:41.6,,,,,1
盛岡,20260825,10,2,黒,2,ツルマルヴィオレ,牡,4,鹿毛,20220201,ホッコータルマエ,タッカーアリシア,キンシャサノキセキ,村上忍,岩手,56,0-0-0-0,小林義,岩手,鶴谷義雄,藤巻則弘,,,3-3-0-6,1-0-0-1,2-3-0-5,1-0-0-1,0-0-0-0,,,,,,,1
盛岡,20260825,10,3,赤,3,ゴールドモーション,牡,5,栗毛,20210318,ゴールドアクター,ジェラテリア,フジキセキ,山本紀,岩手,56,0-1-0-4,板垣吉,岩手,居城寿与,北勝ファーム,,,6-2-4-19,6-2-3-9,0-0-0-6,3-1-2-4,2-1-2-4,1:38.8,良1:38.8,,,,,1
盛岡,20260825,10,4,青,4,マイネルアストリア,牡,9,鹿毛,20170407,"Hard Spun",オレゴンレディ,Shamardal,関本玲,岩手,◇54,3-4-2-21,関本浩,岩手,岩渕瑞生,ビッグレッドファーム,,,15-8-5-58,9-4-3-23,6-4-2-33,7-4-3-19,6-4-3-16,1:37.2,良1:37.6,,,,,1
盛岡,20260825,10,5,黄,5,マルーントリック,牝,5,栗毛,20210429,カリフォルニアクローム,ステージトリック,"Distorted Humor",佐々志,岩手,54,4-1-1-21,佐藤祐,岩手,佐藤信廣,佐藤牧場,,,7-8-3-32,2-4-0-14,5-4-3-18,2-4-0-14,1-1-0-4,1:38.0,良1:39.6,,,,,1
盛岡,20260825,10,6,緑,6,ロッソ,牡,6,栗毛,20200507,トーセンラー,ロッソトウショウ,マーベラスサンデー,山本政,岩手,56,0-0-0-0,飯田弘,岩手,山本将司,有限会社エスティファ,,,8-7-11-49,0-0-0-3,8-7-11-46,0-0-0-3,0-0-0-3,1:41.0,良1:42.7,,,,,1
盛岡,20260825,10,7,橙,7,ペルルセレスト,牝,5,栗毛,20210406,フリオーソ,シンワウォッカ,シーキングザダイヤ,鈴木祐,岩手,54,3-0-0-6,永田幸,岩手,小野寺悠太,武牧場,,,5-2-6-32,2-0-1-10,3-2-5-22,2-0-1-10,0-0-0-0,,,,,,,1
盛岡,20260825,10,8,桃,8,パドメ,牝,4,鹿毛,20220218,エピファネイア,エリドゥバビロン,Bernstein,高橋悠,岩手,54,0-0-0-0,佐藤雅,岩手,福盛訓之,木村秀則,,,2-2-4-15,0-0-0-2,2-2-3-9,0-0-0-1,0-0-0-0,,,,,,,1
盛岡,20260825,10,8,桃,9,フィリオアレグロ,セン,9,鹿毛,20170206,ディープインパクト,ジョコンダ2,Rossini,小林凌,岩手,56,0-0-0-0,飯田弘,岩手,工藤友樹,ノーザンファーム,,,9-3-8-25,0-0-0-0,6-2-5-17,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,11,1,白,1,ロベルタカリーナ,牝,4,鹿毛,20220515,ルヴァンスレーヴ,ダイワジャンヌ,タニノギムレット,村上忍,岩手,54,5-4-2-6,新田守,岩手,安彦公一,千代田牧場,,,6-4-2-19,3-3-1-7,3-1-1-10,3-3-1-3,2-2-0-0,1:12.3,良1:12.6,,,,,1
盛岡,20260825,11,2,黒,2,リリードリーマー,牝,4,鹿毛,20220311,ゴールドドリーム,アルマネーレーイス,ジャングルポケット,岩本怜,岩手,54,1-0-0-2,伊藤和,岩手,大屋高広,アサヒ牧場,,,2-3-2-14,2-2-1-8,0-1-1-5,2-1-0-3,0-0-0-1,1:13.2,,,,,,1
盛岡,20260825,11,3,赤,3,スターライトテール,牡,6,黒鹿毛,20200422,ドレフォン,ラーチャプルック,マーベラスサンデー,塚本涼,岩手,56,0-0-1-4,酒井仁,岩手,小橋亮太,スマイルファーム,,,6-7-15-49,1-2-4-10,5-5-11-39,1-2-4-9,1-0-2-2,1:12.6,良1:12.7,,,,,1
盛岡,20260825,11,4,青,4,タイセイフェスタ,セン,5,鹿毛,20210506,マツリダゴッホ,オーミポルカ,キングヘイロー,高松亮,岩手,56,0-0-1-0,佐藤雅,岩手,田中成奉,松木加代,,,2-3-5-23,0-3-3-10,0-0-2-3,0-2-2-0,0-1-0-0,1:12.5,,,,,,1
盛岡,20260825,11,5,黄,5,ソレア,牝,6,鹿毛,20200124,ドレフォン,バイラオーラ,トワイニング,高橋悠,岩手,54,0-0-0-0,伊藤忍,岩手,福原聡,（有）社台コーポレー,,,5-3-4-26,5-3-4-20,0-0-0-5,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,11,5,黄,6,ファルーク,セン,9,栗毛,20170211,ダイワメジャー,ウインファンタジア,ヘネシー,佐々志,岩手,56,3-1-2-9,橘友和,岩手,上手健太郎,服部牧場,,,13-7-8-53,3-3-2-32,10-4-5-20,3-2-2-15,1-0-1-7,1:13.6,良1:13.6,,,,,1
盛岡,20260825,11,6,緑,7,サンカリプソ,牝,4,鹿毛,20220408,タワーオブロンドン,ラヴィアージュ,クロフネ,坂井瑛,岩手,☆53,1-2-3-8,菅原勲,岩手,大山口洋平,山田政宏,,,4-7-5-17,0-5-0-5,3-2-5-9,0-5-0-5,0-1-0-2,1:12.8,良1:12.8,,,,,1
盛岡,20260825,11,6,緑,8,インディーフィルム,牝,4,栗毛,20220318,サンダースノー,ベストピクチャー,Dubawi,阿部英,岩手,54,1-1-1-3,及川良,岩手,岩渕瑞生,ダーレー・ジャパン・,,,5-4-2-11,2-2-2-4,3-2-0-7,2-2-2-3,0-0-0-0,,,,,,,1
盛岡,20260825,11,7,橙,9,フィルモアテソーロ,牡,5,栗毛,20210322,ヴィクトワールピサ,サンマルクイーン,ダイワメジャー,大坪慎,岩手,56,0-0-0-0,関本浩,岩手,欠畑圭一,笹島政信,,,7-2-2-20,0-0-0-6,7-2-2-13,0-0-0-6,0-0-0-0,,,,,,,1
盛岡,20260825,11,7,橙,10,ニューウォーク,牝,4,鹿毛,20220416,ニューイヤーズデイ,ウエスタンユーノー,アドマイヤコジーン,菅原辰,岩手,54,0-0-0-1,瀬戸幸,岩手,後藤順男,ウエスタンファーム,,,2-5-5-26,0-0-1-4,2-5-3-18,0-0-1-4,0-0-1-0,1:12.4,,,,,,1
盛岡,20260825,11,8,桃,11,チハヤブルラン,牝,6,鹿毛,20200508,コパノリッキー,ニシノカーリー,Shamardal,関本玲,岩手,◇52,3-5-2-13,永田幸,岩手,金野喜見男,田中裕之,,,6-8-9-40,2-2-2-16,4-6-7-24,2-2-2-16,1-0-1-9,1:13.1,良1:13.6,,,,,1
盛岡,20260825,11,8,桃,12,タカマキスリー,牡,5,鹿毛,20210303,メイショウボーラー,ミルク,キングヘイロー,小林凌,岩手,56,0-1-0-1,菅原右,岩手,後藤順男,澤井義一,,,6-7-9-32,3-3-3-20,3-3-6-12,3-2-2-16,1-1-0-6,1:13.1,良1:13.1,,,,,1
盛岡,20260825,12,1,白,1,リュウノメディナ,セン,5,鹿毛,20210216,キンシャサノキセキ,ラハイナ2,"Milt's Overture",塚本涼,岩手,56,3-1-0-13,酒井仁,岩手,蓑島竜一,タイヘイ牧場,,,5-4-3-26,4-3-3-19,1-1-0-7,2-0-0-6,2-0-0-2,1:12.7,良1:12.7,,,,,1
盛岡,20260825,12,2,黒,2,コンバットトーラス,牡,5,黒鹿毛,20210315,シゲルカガ,シゲルスタールビー,ノヴェリスト,大坪慎,岩手,56,0-0-0-1,三野通,岩手,（株）アプエンテ,前田牧場,,,9-0-1-24,0-0-0-3,9-0-1-21,0-0-0-3,0-0-0-0,,,,,,,1
盛岡,20260825,12,3,赤,3,サラサワン,セン,7,鹿毛,20190502,ダノンレジェンド,アイシークレット,ゴールドアリュール,村上忍,岩手,56,4-1-0-3,村上実,岩手,上手健太郎,グランド牧場,,,14-4-4-13,13-3-3-8,1-1-1-5,4-0-1-2,3-0-1-0,1:12.6,良1:12.6,,,,,1
盛岡,20260825,12,4,青,4,パンセ,牡,5,黒鹿毛,20210321,ゴールドアクター,クォーク,ネオユニヴァース,山本紀,岩手,56,0-0-2-2,飯田弘,岩手,（有）ランドエコノミーコンサルタント,大北牧場,,,3-3-7-23,1-2-5-15,2-1-2-8,0-0-2-5,0-0-1-2,1:12.5,良1:13.4,,,,,1
盛岡,20260825,12,5,黄,5,メイストーム,牡,8,鹿毛,20180328,ディスクリートキャット,ユーリカ,クロフネ,鈴木祐,岩手,56,0-0-0-1,小林俊,岩手,小橋亮太,木村牧場,,,8-6-9-53,4-4-5-23,4-2-4-30,0-0-0-1,0-0-0-0,,,,,,,1
盛岡,20260825,12,5,黄,6,サティスファイア,牝,4,鹿毛,20220427,ホッコータルマエ,ユキノセリーヌ,ワイルドラッシュ,岩本怜,岩手,54,1-0-0-5,三野通,岩手,星加浩一,市正牧場,,,4-2-1-14,4-2-1-12,0-0-0-2,1-0-0-3,1-0-0-1,1:12.2,良1:12.6,,,,,1
盛岡,20260825,12,6,緑,7,グアドループ,牡,8,栗毛,20180223,ヴィクトワールピサ,マンビア,Aldebaran,山本聡,岩手,56,4-3-0-2,板垣吉,岩手,佐藤弘樹,ノーザンファーム,,,9-6-1-34,8-2-1-23,1-2-0-7,5-2-0-5,1-0-0-3,1:12.0,良1:13.2,,,,,1
盛岡,20260825,12,6,緑,8,ゴレイジョウ,牝,6,鹿毛,20200227,イスラボニータ,クィーンアマポーラ,キングカメハメハ,南郷家,岩手,54,5-0-2-0,永田幸,岩手,福田光博,鎌田正嗣,,,10-0-3-27,3-0-1-6,7-0-2-10,3-0-1-1,0-0-0-1,1:14.3,良1:14.3,,,,,1
盛岡,20260825,12,7,橙,9,ファイナルキング,牡,8,栗毛,20180427,サウスヴィグラス,ゴールドキャヴィア,ゴールドアリュール,小林凌,岩手,56,0-0-0-1,佐藤浩,岩手,高橋皖,カタオカステーブル,,,9-6-8-23,6-6-7-21,3-0-1-2,0-1-1-3,0-0-1-2,1:12.2,良1:12.2,,,,,1
盛岡,20260825,12,7,橙,10,プリティキッス,牝,5,黒鹿毛,20210412,ダノンバラード,ジャストアキッス,エンパイアメーカー,佐々志,岩手,54,6-3-1-9,小林俊,岩手,千葉貢,大北牧場,,,6-6-3-27,4-5-1-9,2-1-2-13,4-5-1-9,2-0-0-1,1:12.4,良1:12.4,,,,,1
盛岡,20260825,12,8,桃,11,ルアル,牡,7,鹿毛,20190228,エスポワールシチー,シャイニングムーン,エリシオ,阿部英,岩手,56,1-3-0-6,吉田司,岩手,古川忠一,グランデファーム,,,4-7-7-32,1-2-1-6,3-5-6-26,1-2-0-2,0-2-0-1,1:12.7,良1:12.7,,,,,1
盛岡,20260825,12,8,桃,12,コパノマロン,牝,4,栗毛,20220318,モズアスコット,ユキノクイーン,タイキシャトル,高松亮,岩手,54,0-0-0-0,櫻田樹,岩手,小林祥晃,服部牧場,,,4-2-1-26,1-2-0-16,3-0-1-7,1-2-0-1,0-0-0-0,,,,,,,1
船橋,20260825,1,1,白,1,エルモ,牡,2,鹿毛,20240407,アルアイン,イタリアンフェッテ,ヨハネスブルグ,濱田達,船橋,54,0-0-0-0,佐々功,船橋,谷口祐人,中田浩美,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-1,1:20.1,良1:20.1,,,,,1
船橋,20260825,1,2,黒,2,キャッスルソード,牡,2,栗毛,20240414,ナムラタイタン,キャッスルムーン,ラニ,所　蛍,船橋,☆53,0-0-0-1,渋谷博,船橋,城市公,城市公,,,0-0-0-2,0-0-0-2,0-0-0-0,0-0-0-2,0-0-0-1,1:21.2,良1:21.2,,,,,1
船橋,20260825,1,3,赤,3,エーオープリンス,牡,2,鹿毛,20240307,チュウワウィザード,ベルクシュタイゲン,エスケンデレヤ,笠野雄,船橋,54,0-0-0-1,佐藤太,船橋,（株）ネクストトライ,メイタイファーム,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,1,4,青,4,ケイズブレイヴ,牡,2,栗毛,20240305,ケイティブレイブ,ケイティグレース,ロジユニヴァース,藤原幹,船橋,54,0-0-0-2,山田信,船橋,伊藤健,有限会社ビクトリーホ,,,0-0-0-3,0-0-0-3,0-0-0-0,0-0-0-3,0-0-0-2,1:19.4,良1:19.4,,,,,1
船橋,20260825,1,5,黄,5,バニラビーンズ,牡,2,栗毛,20240502,ダノンスマッシュ,ショウナンバニラ,オルフェーヴル,菅原吏,船橋,▲51,0-0-0-0,山本学,船橋,手嶋康雄,田湯牧場,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,1,6,緑,6,パームストリート,牡,2,芦毛,20240527,オールブラッシュ,ロックランザ,"Rock of Gibraltar",岡村健,船橋,54,0-0-0-1,山中尊,船橋,篠原徹,スプリングファーム,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,1,7,橙,7,クレイジーロッカー,牡,2,栗毛,20240216,サリオス,アルティメイトラブ,シンボリクリスエス,木間龍,船橋,54,0-0-0-1,渡邊貴,船橋,吉田照哉,社台ファーム,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,2,1,白,1,フレンドヤマト,牡,2,黒鹿毛,20240329,グローリーヴェイズ,ブロックチェーン,ルーラーシップ,臼井健,船橋,54,0-0-0-1,佐々功,船橋,横尾晴人,登別上水牧場,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,2,2,黒,2,グレースフルマナー,牝,2,黒鹿毛,20240229,ニューイヤーズデイ,エレガントマナー,シンボリクリスエス,山本大,船橋,△52,0-0-0-1,佐藤太,船橋,吉田勝己,隆栄牧場,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,2,3,赤,3,アンサール,牡,2,栗毛,20240324,ベストウォーリア,リンネルクロス,キングヘイロー,小杉亮,船橋,54,0-0-1-0,矢野義,船橋,石瀬丈太郎,株式会社アフリートフ,,,0-0-1-0,0-0-1-0,0-0-0-0,0-0-1-0,0-0-0-0,,,,,,,1
船橋,20260825,2,4,青,4,ジャズジャイアント,牡,2,鹿毛,20240424,モーニン,パーフェクトジョイ,ステイゴールド,和田譲,大井,54,0-0-0-0,新井清,船橋,日下部勝徳,市川牧場,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,2,5,黄,5,コーズマーサ,牝,2,栗毛,20240217,ディスクリートキャット,マーサマイディア,サウスヴィグラス,川島正,船橋,54,0-0-0-1,岩崎真,船橋,（株）Ｗプロパティー,グランド牧場,,,0-0-0-1,0-0-0-1,0-0-0-0,0-0-0-1,0-0-0-0,,,,,,,1
船橋,20260825,2,6,緑,6,フレンドタワー,牝,2,栗毛,20240321,タワーオブロンドン,フレンドプラチナ,クロフネ,仲野光,船橋,54,0-0-1-0,長谷剛,船橋,蔀英二,中村雅明,,,0-0-1-0,0-0-1-0,0-0-0-0,0-0-1-0,0-0-0-0,,,,,,,1
船橋,20260825,2,7,橙,7,ユウヤケノソラ,牝,2,鹿毛,20240427,リアルインパクト,オリオンムーン,Manduro,ゴンサ,船橋,54,0-0-0-0,林　幻,船橋,吉田照哉,社台ファーム,,,0-0-1-0,0-0-1-0,0-0-0-0,0-0-1-0,0-0-0-0,,,,,,,1
船橋,20260825,2,8,桃,8,マルヒロデラックス,牝,2,鹿毛,20240207,デクラレーションオブウォー,ルタンメルヴェイユ,ゴールドアリュール,張田昂,船橋,54,0-0-0-0,玉井等,船橋,廣川正之,明治牧場,,,0-0-1-0,0-0-1-0,0-0-0-0,0-0-1-0,0-0-0-0,,,,,,,1
船橋,20260825,2,8,桃,9,クシナダヒメ,牝,2,青鹿毛,20240423,アメリカンペイトリオット,カナワン,エピファネイア,野澤憲,船橋,54,0-0-0-3,佐々清,船橋,大久保秀一,富田恭司,,,0-0-0-3,0-0-0-3,0-0-0-0,0-0-0-3,0-0-0-2,1:20.1,良1:20.1,,,,,1
船橋,20260825,3,1,白,1,クラバエル,牡,3,黒鹿毛,20230406,エピカリス,クラキングレディ,リンドシェーバー,藤本現,大井,56,0-0-0-3,伊藤滋,船橋,（株）サンエアー,倉見牧場,,,1-0-5-17,0-0-0-11,1-0-5-6,0-0-0-8,0-0-0-8,1:17.7,良1:17.7,,,,,1
船橋,20260825,3,2,黒,2,マリノレーヴェ,牝,3,黒鹿毛,20230312,マテラスカイ,マリノサクセス,ヴィクトワールピサ,本橋孝,船橋,54,0-0-0-1,石井勝,船橋,サンエツ企画（有）,クラウン日高牧場,,,0-0-1-5,0-0-0-3,0-0-1-2,0-0-0-2,0-0-0-2,1:18.1,良1:18.1,,,,,1
船橋,20260825,3,3,赤,3,ゴッドブラウン,牝,3,栗毛,20230516,ワールドプレミア,ジュンヴァドス,スクリーンヒーロー,本田重,船橋,54,0-1-1-1,川島一,船橋,佐藤昭人,マリオステーブル,,,0-1-2-2,0-1-2-2,0-0-0-0,0-1-2-2,0-1-2-1,1:17.9,良1:17.9,,,,,1
船橋,20260825,3,4,青,4,ゴーレム,牡,3,栗毛,20230411,ロゴタイプ,マダムメガミ,マヤノトップガン,野畑凌,川崎,56,0-0-0-0,渋谷博,船橋,篠原徹,及川ミツ子,,,0-1-1-10,0-1-1-10,0-0-0-0,0-1-1-9,0-1-1-9,1:16.3,良1:16.3,,,,,1
船橋,20260825,3,5,黄,5,ブライティアメール,牝,3,栗毛,20230428,トゥザワールド,ノードラメール,"Rock of Gibraltar",岡村健,船橋,54,1-0-0-2,山田信,船橋,小林昌志,川向高橋育成牧場,,,1-0-0-6,1-0-0-6,0-0-0-0,1-0-0-6,1-0-0-6,1:18.1,良1:18.1,,,,,1
船橋,20260825,3,6,緑,6,ドジッコ,牝,3,鹿毛,20230420,ミッキーグローリー,ココロチラリ,エアジハード,濱田達,船橋,54,0-0-0-1,伊藤滋,船橋,内田玄祥,コスモヴューファーム,,,0-1-1-8,0-1-1-8,0-0-0-0,0-1-1-8,0-1-1-7,1:17.6,良1:17.6,,,,,1
船橋,20260825,4,1,白,1,プリンセスサクラ,牝,5,黒鹿毛,20210510,カレンブラックヒル,クールグレース,フォーティナイナー,秋元耕,浦和,54,0-0-0-3,薮口一,浦和,（有）総武開発,高昭牧場,,,3-6-2-17,2-4-2-15,1-2-0-2,0-0-0-0,0-0-0-0,,,,,,,1
船橋,20260825,4,2,黒,2,テリオスボス,牡,5,黒鹿毛,20210504,タリスマニック,モモイロアゲハ,ダンスインザダーク,和田譲,大井,56,0-1-0-2,佐々功,船橋,（同）ＪＰＮ技研,米田牧場,,,1-8-6-36,0-4-5-23,1-4-1-13,0-4-3-14,0-4-3-13,1:38.0,良1:38.0,,,,,1
船橋,20260825,4,3,赤,3,サージ,セン,4,栗毛,20220404,ヘニーヒューズ,ニュアージュドール,ディープスカイ,中山遥,浦和,☆55,1-0-1-2,宇野博,浦和,渋谷陽,笠松牧場,,,2-1-2-6,2-1-2-6,0-0-0-0,1-0-0-1,1-0-0-1,1:39.1,良1:39.1,,,,,1
船橋,20260825,4,4,青,4,ウェカピポ,牡,4,黒鹿毛,20220315,ルーラーシップ,アールマティーニ,Majesticperfection,岡村健,船橋,56,0-0-0-0,山田信,船橋,西村健,前谷牧場,,,3-2-0-11,1-2-0-6,2-0-0-3,1-2-0-6,1-1-0-3,1:38.1,良1:38.1,,,,,1
船橋,20260825,4,5,黄,5,エクレールスカイ,牡,7,黒鹿毛,20190516,シルバーステート,アレグリアス,フォーティナイナー,山口達,船橋,56,3-3-9-20,林正人,船橋,（有）太盛,橋本牧場,,,3-3-11-22,3-3-11-22,0-0-0-0,3-3-10-19,2-2-5-10,1:36.9,良1:36.9,,,,,1
船橋,20260825,4,5,黄,6,サトノオリエンタル,牝,4,鹿毛,20220128,リアルスティール,イースト,Frankel,笹川翼,大井,54,1-1-0-0,石崎駿,船橋,里見治,ノーザンファーム,,,2-1-1-0,2-1-0-0,0-0-1-0,2-1-0-0,0-0-0-0,,,,,,,1
船橋,20260825,4,6,緑,7,オニムシャ,牡,4,黒鹿毛,20220310,シルバーステート,スパイチャクラ,Shamardal,所　蛍,船橋,☆55,0-0-0-1,玉井勝,船橋,（有）総武開発,鮫川啓一,,,0-0-1-22,0-0-0-13,0-0-0-0,0-0-0-6,0-0-0-3,1:39.4,良1:39.4,,,,,1
船橋,20260825,4,6,緑,8,ガンバリキ,牝,5,青鹿毛,20210321,ロゴタイプ,アルマエルモ,クロフネ,沖響主,船橋,▲51,0-0-0-0,岩崎真,船橋,吉野智博,イワミ牧場,,,7-4-2-20,0-0-0-5,7-4-2-5,0-0-0-5,0-0-0-4,1:39.0,良1:39.0,,,,,1
船橋,20260825,4,7,橙,9,ルナーサウスポール,牡,7,栗毛,20190314,アドマイヤムーン,サウスキャロライナ,ステイゴールド,臼井健,船橋,56,2-8-5-17,凾館一,船橋,大島光二,坂東牧場,,,3-10-5-24,3-10-5-19,0-0-0-0,3-9-5-13,2-6-3-9,1:36.6,良1:36.6,,,,,1
船橋,20260825,4,7,橙,10,キングブルズアイズ,セン,7,黒鹿毛,20190526,リオンディーズ,ダイワデリカシー,バブルガムフェロー,山中悠,船橋,56,0-1-0-0,山田信,船橋,（株）バスター,サカイファーム,,,6-7-2-11,6-7-2-11,0-0-0-0,0-2-1-2,0-0-0-0,,,,,,,1
船橋,20260825,4,8,桃,11,スカーレットクロス,牝,4,黒鹿毛,20220314,マジェスティックウォリアー,ネオヴェリーベリー,ホワイトマズル,仲野光,船橋,54,1-1-0-1,渡邊貴,船橋,佐々木徹,シンユウフアーム,,,3-5-2-13,2-4-2-7,1-1-0-4,1-1-0-1,1-1-0-0,1:38.6,良1:38.6,,,,,1
船橋,20260825,4,8,桃,12,アドラマリク,牡,4,黒鹿毛,20220306,パイロ,アドリア,ヴィクトワールピサ,ゴンサ,船橋,56,0-0-0-0,新井清,船橋,（株）レックス,船越牧場,,,4-2-1-15,3-1-1-12,1-1-0-3,2-0-1-7,2-0-0-2,1:38.1,良1:38.1,,,,,1
船橋,20260825,5,1,白,1,オパールグリーン,牝,3,鹿毛,20230327,シルバーステート,カシシ,ジャングルポケット,保園翔,浦和,54,0-0-1-3,川村守,浦和,伊藤弘泰,静内山田牧場,,,0-2-2-9,0-2-2-9,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
船橋,20260825,5,2,黒,2,ライトネス,牝,3,鹿毛,20230515,マテラスカイ,オリョウ,アンライバルド,及川烈,浦和,54,0-0-0-0,長谷忍,浦和,下川欣一,高澤正幸,,,1-2-2-10,0-1-1-5,1-1-1-5,0-0-1-0,0-0-1-0,1:16.9,良1:16.9,,,,,1
